David Jolly	Florida	house	None
John Walsh	Montana	senate	SenWalshOffice
Bradley Byrne	Alabama	house	RepByrne
Katherine Clark	Massachusetts	house	RepKClark
Vance McAllister	Louisiana	house	RepMcAllister
Cory Booker	New Jersey	senate	SenBookerOfc
Jason Smith	Missouri	house	RepJasonSmith
Robin Kelly	Illinois	house	RepRobinKelly
Mark Pocan	Wisconsin	house	RepMarkPocan
Denny Heck	Washington	house	RepDennyHeck
Derek Kilmer	Washington	house	RepDerekKilmer
Timothy Kaine	Virginia	senate	SenKaineOffice
Chris Stewart	Utah	house	RepChrisStewart
Filemon Vela	Texas	house	RepFilemonVela
Marc Veasey	Texas	house	RepVeasey
Roger Williams	Texas	house	RepRWilliams
Pete Gallego	Texas	house	RepPeteGallego
Joaquin Castro	Texas	house	JoaquinCastrotx
Beto O'Rourke	Texas	house	RepBetoORourke
Randy Weber	Texas	house	TXRandy14
Ted Cruz	Texas	senate	SenTedCruz
Tom Rice	South Carolina	house	RepTomRice
Matthew Cartwright	Pennsylvania	house	RepCartwright
Keith Rothfus	Pennsylvania	house	KeithRothfus
Scott Perry	Pennsylvania	house	RepScottPerry
Markwayne Mullin	Oklahoma	house	RepMullin
Jim Bridenstine	Oklahoma	house	RepJBridenstine
David Joyce	Ohio	house	RepDaveJoyce
Joyce Beatty	Ohio	house	RepBeatty
Brad Wenstrup	Ohio	house	RepBradWenstrup
Chris Collins	New York	house	RepChrisCollins
Sean Maloney	New York	house	RepSeanMaloney
Hakeem Jeffries	New York	house	RepJeffries
Grace Meng	New York	house	RepGraceMeng
Steven Horsford	Nevada	house	RepHorsford
Michelle Lujan Grisham	New Mexico	house	RepLujanGrisham
Ann Kuster	New Hampshire	house	RepAnnieKuster
Deb Fischer	Nebraska	senate	SenatorFischer
Kevin Cramer	North Dakota	house	RepKevinCramer
Heidi Heitkamp	North Dakota	senate	SenatorHeitkamp
George Holding	North Carolina	house	RepHolding
Mark Meadows	North Carolina	house	RepMarkMeadows
Robert Pittenger	North Carolina	house	RepPittenger
Richard Hudson	North Carolina	house	RepRichHudson
Steve Daines	Montana	house	SteveDaines
Ann Wagner	Missouri	house	RepAnnWagner
Kerry Bentivolio	Michigan	house	RepKerryB
Daniel Kildee	Michigan	house	RepDanKildee
Angus King	Maine	senate	SenAngusKing
John Delaney	Maryland	house	RepJohnDelaney
Joseph Kennedy	Massachusetts	house	RepJoeKennedy
Elizabeth Warren	Massachusetts	senate	SenWarren
Garland Barr	Kentucky	house	RepAndyBarr
Luke Messer	Indiana	house	RepLukeMesser
Susan Brooks	Indiana	house	SusanWBrooks
Jackie Walorski	Indiana	house	RepWalorski
Cheri Bustos	Illinois	house	RepCheri
Rodney Davis	Illinois	house	RodneyDavis
William Enyart	Illinois	house	RepBillEnyart
Bradley Schneider	Illinois	house	RepSchneider
Tammy Duckworth	Illinois	house	RepDuckworth
Tulsi Gabbard	Hawaii	house	TulsiPress
Doug Collins	Georgia	house	RepDougCollins
Joe Garcia	Florida	house	RepJoeGarcia
Lois Frankel	Florida	house	RepLoisFrankel
Patrick Murphy	Florida	house	RepMurphyFL
Ron DeSantis	Florida	house	RepDeSantis
Ted Yoho	Florida	house	RepTedYoho
Elizabeth Esty	Connecticut	house	RepEsty
Scott Peters	California	house	RepScottPeters
Juan Vargas	California	house	RepJuanVargas
Alan Lowenthal	California	house	RepLowenthal
Mark Takano	California	house	RepMarkTakano
Raul Ruiz	California	house	CongressmanRuiz
Gloria Negrete McLeod	California	house	RepMcLeod
Tony Cárdenas	California	house	RepCardenas
Julia Brownley	California	house	JuliaBrownley26
David Valadao	California	house	RepDavidValadao
Eric Swalwell	California	house	RepSwalwell
Paul Cook	California	house	RepPaulCook
Ami Bera	California	house	RepBera
Jared Huffman	California	house	RepHuffman
Doug LaMalfa	California	house	RepLaMalfa
Kyrsten Sinema	Arizona	house	RepSinema
Tom Cotton	Arkansas	house	RepTomCotton
Brian Schatz	Hawaii	senate	SenBrianSchatz
Dina Titus	Nevada	house	RepDinaTitus
Carol Shea-Porter	New Hampshire	house	RepSheaPorter
Daniel Maffei	New York	house	RepDanMaffei
Ann Kirkpatrick	Arizona	house	RepKirkpatrick
Alan Grayson	Florida	house	None
Bill Foster	Illinois	house	RepBillFoster
Marshall Sanford	South Carolina	house	RepSanfordSC
Matt Salmon	Arizona	house	RepMattSalmon
Steve Stockman	Texas	house	SteveWorks4You
Richard Nolan	Minnesota	house	USRepRickNolan
Donald Payne	New Jersey	house	RepDonaldPayne
Thomas Massie	Kentucky	house	RepThomasMassie
Suzan DelBene	Washington	house	RepDelBene
Ron Barber	Arizona	house	RepRonBarber
Suzanne Bonamici	Oregon	house	RepBonamici
Mark Amodei	Nevada	house	MarkAmodeiNV2
Janice Hahn	California	house	Rep_JaniceHahn
Dean Heller	Nevada	senate	SenDeanHeller
Todd Young	Indiana	house	RepToddYoung
Don Young	Alaska	house	RepDonYoung
Kevin Yoder	Kansas	house	RepKevinYoder
John Yarmuth	Kentucky	house	RepJohnYarmuth
Ron Wyden	Oregon	senate	RonWyden
Rob Woodall	Georgia	house	None
Steve Womack	Arkansas	house	Rep_SteveWomack
Frank Wolf	Virginia	house	RepWOLFPress
Robert Wittman	Virginia	house	RobWittman
Frederica Wilson	Florida	house	RepWilson
Joe Wilson	South Carolina	house	None
Ed Whitfield	Kentucky	house	RepEdWhitfield
Lynn Westmoreland	Georgia	house	RepWestmoreland
Peter Welch	Vermont	house	PeterWelch
Daniel Webster	Florida	house	RepWebster
Henry Waxman	California	house	WaxmanClimate
Maxine Waters	California	house	MaxineWaters
Debbie Wasserman Schultz	Florida	house	RepDWStweets
Timothy Walz	Minnesota	house	RepTimWalz
Greg Walden	Oregon	house	RepGregWalden
Tim Walberg	Michigan	house	RepWalberg
David Vitter	Louisiana	senate	None
Peter Visclosky	Indiana	house	RepVisclosky
Nydia Velázquez	New York	house	NydiaVelazquez
Chris Van Hollen	Maryland	house	ChrisVanHollen
Fred Upton	Michigan	house	RepFredUpton
Michael Turner	Ohio	house	RepMikeTurner
Niki Tsongas	Massachusetts	house	NikiInTheHouse
Patrick Toomey	Pennsylvania	senate	SenToomey
Paul Tonko	New York	house	RepPaulTonko
Scott Tipton	Colorado	house	RepTipton
John Tierney	Massachusetts	house	RepTierney
Patrick Tiberi	Ohio	house	TiberiPress
John Thune	South Dakota	senate	SenJohnThune
Mac Thornberry	Texas	house	MacTXPress
Glenn Thompson	Pennsylvania	house	CongressmanGT
Mike Thompson	California	house	RepThompson
Bennie Thompson	Mississippi	house	BennieGThompson
Lee Terry	Nebraska	house	LEETERRYNE
Linda Sánchez	California	house	RepLindaSanchez
Marlin Stutzman	Indiana	house	RepStutzman
Steve Stivers	Ohio	house	RepSteveStivers
Jackie Speier	California	house	RepSpeier
Steve Southerland	Florida	house	Rep_Southerland
Lamar Smith	Texas	house	LamarSmithTX21
Christopher Smith	New Jersey	house	RepChrisSmith
Adrian Smith	Nebraska	house	RepAdrianSmith
Adam Smith	Washington	house	RepAdamSmith
Louise Slaughter	New York	house	LouiseSlaughter
Albio Sires	New Jersey	house	Rep_Albio_Sires
Michael Simpson	Idaho	house	CongMikeSimpson
Bill Shuster	Pennsylvania	house	RepBillShuster
John Shimkus	Illinois	house	RepShimkus
Brad Sherman	California	house	BradSherman
Richard Shelby	Alabama	senate	SenShelby
Terri Sewell	Alabama	house	RepTerriSewell
Pete Sessions	Texas	house	PeteSessions
José Serrano	New York	house	RepJoseSerrano
F. Sensenbrenner	Wisconsin	house	JimPressOffice
Tim Scott	South Carolina	senate	SenatorTimScott
Robert Scott	Virginia	house	RepBobbyScott
David Scott	Georgia	house	RepDavidScott
Austin Scott	Georgia	house	AustinScottGA08
David Schweikert	Arizona	house	RepDavid
Allyson Schwartz	Pennsylvania	house	None
Charles Schumer	New York	senate	ChuckSchumer
Kurt Schrader	Oregon	house	RepSchrader
Aaron Schock	Illinois	house	RepAaronSchock
Adam Schiff	California	house	RepAdamSchiff
Janice Schakowsky	Illinois	house	JanSchakowsky
Steve Scalise	Louisiana	house	SteveScalise
John Sarbanes	Maryland	house	RepJohnSarbanes
Loretta Sanchez	California	house	LorettaSanchez
Gregorio Sablan	Northern Mariana Islands	house	None
Tim Ryan	Ohio	house	RepTimRyan
Paul Ryan	Wisconsin	house	RepPaulRyan
Bobby Rush	Illinois	house	RepBobbyRush
C. Ruppersberger	Maryland	house	Call_Me_Dutch
Jon Runyan	New Jersey	house	RepJonRunyan
Marco Rubio	Florida	senate	SenRubioPress
Edward Royce	California	house	RepEdRoyce
Lucille Roybal-Allard	California	house	RepRoybalAllard
Dennis Ross	Florida	house	RepDennisRoss
Peter Roskam	Illinois	house	PeterRoskam
Ileana Ros-Lehtinen	Florida	house	RosLehtinen
Thomas Rooney	Florida	house	TomRooney
Todd Rokita	Indiana	house	ToddRokita
Dana Rohrabacher	California	house	None
Mike Rogers	Alabama	house	RepMikeRogersAL
Mike Rogers	Michigan	house	RepMikeRogers
Harold Rogers	Kentucky	house	RepHalRogers
David Roe	Tennessee	house	DrPhilRoe
Martha Roby	Alabama	house	RepMarthaRoby
E. Rigell	Virginia	house	RepScottRigell
Cedric Richmond	Louisiana	house	RepRichmond
Reid Ribble	Wisconsin	house	RepRibble
James Renacci	Ohio	house	RepJimRenacci
Harry Reid	Nevada	senate	SenatorReid
David Reichert	Washington	house	DaveReichert
Tom Reed	New York	house	RepTomReed
Charles Rangel	New York	house	CBRangel
Nick Rahall	West Virginia	house	None
Mike Quigley	Illinois	house	RepMikeQuigley
Tom Price	Georgia	house	RepTomPrice
David Price	North Carolina	house	RepDavidEPrice
Bill Posey	Florida	house	CongBillPosey
Robert Portman	Ohio	senate	RobPortman
Mike Pompeo	Kansas	house	RepMikePompeo
Jared Polis	Colorado	house	JaredPolis
Ted Poe	Texas	house	JudgeTedPoe
Joseph Pitts	Pennsylvania	house	RepJoePitts
Chellie Pingree	Maine	house	ChelliePingree
Pedro Pierluisi	Puerto Rico	house	PedroPierluisi
Thomas Petri	Wisconsin	house	None
Collin Peterson	Minnesota	house	None
Gary Peters	Michigan	house	RepGaryPeters
Ed Perlmutter	Colorado	house	RepPerlmutter
Nancy Pelosi	California	house	NancyPelosi
Stevan Pearce	New Mexico	house	RepStevePearce
Erik Paulsen	Minnesota	house	RepErikPaulsen
Rand Paul	Kentucky	senate	SenRandPaul
Ed Pastor	Arizona	house	None
Bill Pascrell	New Jersey	house	BillPascrell
Frank Pallone	New Jersey	house	FrankPallone
Steven Palazzo	Mississippi	house	CongPalazzo
William Owens	New York	house	BillOwensNY
Pete Olson	Texas	house	OlsonPressShop
